FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
020424;0000;43,1666;;;
020425;0000;29,4167;;;
020426;0000;57,375;;;
020427;0000;46,1666;;;
020428;0000;31,2917;;;
020429;0000;35,3333;;;
020430;0000;39,875;;;
020501;0000;55,75;;;
020502;0000;69,5454;;;
020503;0000;64,4166;;;
020504;0000;81,625;;;
020505;0000;74,5833;;;
020506;0000;50,125;;;
020507;0000;57,5416;;;
020508;0000;88,75;;;
020509;0000;67,8333;;;
020510;0000;88,3333;;;
020511;0000;56,0833;;;
020512;0000;56,9583;;;
020513;0000;38,5;;;
020514;0000;;;;
020515;0000;;;;
020516;0000;12,7917;;;
020517;0000;27,5833;;;
020518;0000;12,625;;;
020519;0000;6,875;;;
020520;0000;41,3333;;;
020521;0000;45,9166;;;
020522;0000;89,7083;;;
020523;0000;60,4583;;;
020524;0000;72,125;;;
020525;0000;48,5833;;;
020526;0000;;;;
020527;0000;;;;
020528;0000;;;;
020529;0000;;;;
020530;0000;;;;
020531;0000;41,3333;;;
020601;0000;20,9167;;;
020602;0000;28,0417;;;
020603;0000;11,5417;;;
020604;0000;8,66666;;;
020605;0000;15,375;;;
020606;0000;52,875;;;
020607;0000;56,9166;;;
020608;0000;42,0416;;;
020609;0000;51,0833;;;
020610;0000;73,625;;;
020611;0000;119,542;;;
020612;0000;78,8333;;;
020613;0000;73,5833;;;
020614;0000;85,125;;;
020615;0000;91,8333;;;
020616;0000;86,875;;;
020617;0000;94,2083;;;
020618;0000;102,458;;;
020619;0000;90,9166;;;
020620;0000;93;;;
020621;0000;90,1364;;;
020622;0000;74,4583;;;
020623;0000;46,7083;;;
020624;0000;63,9583;;;
020625;0000;52,2916;;;
020626;0000;60,5416;;;
020627;0000;15,5417;;;
020628;0000;6,95833;;;
020629;0000;15,4583;;;
020630;0000;42,875;;;
020701;0000;72,6666;;;
020702;0000;71,5416;;;
020703;0000;56,8333;;;
020704;0000;63,25;;;
020705;0000;45,9583;;;
020706;0000;58,3333;;;
020707;0000;73,875;;;
020708;0000;96,8333;;;
020709;0000;111,042;;;
020710;0000;73,3333;;;
020711;0000;85,9583;;;
020712;0000;121,636;;;
020713;0000;86,7916;;;
020714;0000;56,375;;;
020715;0000;80,4166;;;
020716;0000;104,958;;;
020717;0000;97,9583;;;
020718;0000;85,375;;;
020719;0000;69,25;;;
020720;0000;14,9167;;;
020721;0000;10,1364;;;
020722;0000;14,6667;;;
020723;0000;18,4583;;;
020724;0000;36,2916;;;
020725;0000;46,5;;;
020726;0000;51,25;;;
020727;0000;70,3333;;;
020728;0000;37;;;
020729;0000;33,9583;;;
020730;0000;;;;
020731;0000;43,9583;;;
020801;0000;50,9583;;;
020802;0000;56,3333;;;
020803;0000;58,125;;;
020804;0000;64,6666;;;
020805;0000;60,5714;;;
020806;0000;75,7916;;;
020807;0000;22,0417;;;
020808;0000;23,0833;;;
020809;0000;56,5833;;;
020810;0000;52,75;;;
020811;0000;54,6666;;;
020812;0000;47,375;;;
020813;0000;43,5;;;
020814;0000;59,1666;;;
020815;0000;83,5833;;;
020816;0000;79,5;;;
020817;0000;38,625;;;
020818;0000;5,625;;;
020819;0000;13,75;;;
020820;0000;32,0833;;;
020821;0000;54,4166;;;
